"mention_id","event_id","account_id","start_position","length","task_id","team_id","dtype","workspace_id"
"0ffe01ee-8ab3-4956-bf86-1c6a81aae0fe","ca4d3143-c994-495a-a43f-61f27d9c7651","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"46ac1b0e-3876-439c-973b-03ee9bfc4721","7c513fe4-de23-414b-8c2d-08a6e8a91e29","df37b92c-ebf7-4cb0-bfbc-7f195eec0d2d","0","16","null","null","AccountMention","null"
"252d2d2e-da3f-4edc-acce-f313c3b71c40","c5a3cb0b-7785-43e2-9b58-4c2e63781670","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","0","14","null","null","AccountMention","null"
"ec726f1d-737e-4fa5-8ad8-8b08928a710a","8f43b9d6-ca8a-4f83-81fc-2b7281e17a99","df37b92c-ebf7-4cb0-bfbc-7f195eec0d2d","0","16","null","null","AccountMention","null"
"c577efce-658d-465f-967c-6fed3edcba6e","8f43b9d6-ca8a-4f83-81fc-2b7281e17a99","2587fcf9-00b7-4bc5-9b07-7fd4709a022d","17","10","null","null","AccountMention","null"
"8fb48ce3-5767-4409-97bb-a082cd3f6b1a","d9412cc3-60a6-4050-b460-74df708a0458","df37b92c-ebf7-4cb0-bfbc-7f195eec0d2d","0","16","null","null","AccountMention","null"
"3d8b7e70-3d19-4087-a613-9db1042be2b5","1834a429-31cd-4f4b-9457-dc3b9367a8f8","5554fd78-076b-4965-b8dd-73ad778ae04d","0","20","null","null","AccountMention","null"
"7294b01a-3c8b-4fdf-8900-b796a9385200","c7329f45-1b6e-41d3-9e71-f11c45634672","5554fd78-076b-4965-b8dd-73ad778ae04d","0","20","null","null","AccountMention","null"
"db4a2469-a173-468b-a361-b1aeee3c6f5a","46ac1e79-fc7c-4586-8223-eb17d535de0f","5554fd78-076b-4965-b8dd-73ad778ae04d","0","20","null","null","AccountMention","null"
"090310c7-bcf4-418b-b295-ae326a155ef8","2274faa7-2fcb-4d97-bab8-e0d2f6006d88","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
